timestamp,x_,y_,z_
2014-04-01 00:00:00,19.761251903,18.0904862285,21.5980110405
2014-04-01 00:05:00,20.500833287,20.3598425859,19.3213920476
2014-04-01 00:10:00,19.9616414445,21.1054698472,21.399938142
2014-04-01 00:15:00,21.4902660734,21.1515852522,18.3739156837
2014-04-01 00:20:00,20.1877394098,18.1371405424,18.1674987959
2014-04-01 00:25:00,19.9231256718,21.6256605306,20.0161807325
2014-04-01 00:30:00,21.6984039617,21.6738066877,18.2386488933
2014-04-01 00:35:00,20.8787583842,20.2455614926,19.5699592049
2014-04-01 00:40:00,18.4461996294,19.9283327955,21.5871124675
2014-04-01 00:45:00,18.7108178448,18.1794698523,18.9659321448
2014-04-01 00:50:00,21.1484914518,20.24781657,20.8239031005
2014-04-01 00:55:00,21.3434052847,19.6375163271,19.2094615696
2014-04-01 01:00:00,20.1807633164,21.0912256296,18.179680221
2014-04-01 01:05:00,20.2178209115,19.6155342675,20.2267623256
2014-04-01 01:10:00,20.5277318514,20.7343233333,21.3394139621
2014-04-01 01:15:00,19.7564630971,18.405632585,19.6378737934
2014-04-01 01:20:00,20.7207964939,18.5318090831,20.4691753058
2014-04-01 01:25:00,18.4339250303,18.5588407626,21.6000943906
2014-04-01 01:30:00,21.8451169695,18.1821019992,21.1587780509
2014-04-01 01:35:00,21.0006192952,20.1653154371,18.7755055976
2014-04-01 01:40:00,20.524696816,21.1758709042,20.9335358375
2014-04-01 01:45:00,19.265288228,20.4416448148,20.0075721006
2014-04-01 01:50:00,18.6438219498,20.2998195422,20.9838672315
2014-04-01 01:55:00,19.6373718553,20.7224957136,19.9780622021
2014-04-01 02:00:00,20.6463069623,19.3585812923,18.5118326564
2014-04-01 02:05:00,20.5348389737,19.4478162866,20.2796377868
2014-04-01 02:10:00,19.5305646203,19.2570803929,19.9685359696
2014-04-01 02:15:00,20.4531455753,20.8484357314,20.0716869346
2014-04-01 02:20:00,21.2549931823,18.6465613427,21.5156098146
2014-04-01 02:25:00,18.1051390894,18.0521011213,21.5793481868
2014-04-01 02:30:00,19.8024841917,20.3847857869,19.8141484271
